"gene_names","gene_ids"
"ensembl","ENSPFOG00000012017"
"ensembl","ENSPFOG00000012027"
"ensembl","ENSPFOG00000012039"
"SLC4A2(2of2)","ENSPFOG00000012046"
"si:ch73-173p19.1","ENSPFOG00000022070"
"ensembl","ENSPFOG00000012241"
"abcf2a","ENSPFOG00000012277"
"chpf2","ENSPFOG00000012439"
"smarcd3b","ENSPFOG00000012463"
"NFX1","ENSPFOG00000012547"
"asap1b","ENSPFOG00000012683"
"si:dkey-37o8.1","ENSPFOG00000013173"
"ensembl","ENSPFOG00000013240"
"myca(1of2)","ENSPFOG00000013399"
"myca(2of2)","ENSPFOG00000013425"
"ankha","ENSPFOG00000013437"
"otulina","ENSPFOG00000013533"
"otulina","ENSPFOG00000013581"
"pou6f2","ENSPFOG00000013600"
"vps41","ENSPFOG00000013663"
"ensembl","ENSPFOG00000021880"
"esco1","ENSPFOG00000013839"
"ensembl","ENSPFOG00000013859"
"sox17","ENSPFOG00000013867"
"sox32","ENSPFOG00000013880"
"mrpl15","ENSPFOG00000013894"
"lypla1","ENSPFOG00000013928"
"ensembl","ENSPFOG00000013996"
"OPRK1(2of2)","ENSPFOG00000014033"
"chmp5b","ENSPFOG00000014053"
"fastkd3","ENSPFOG00000014081"
"myl12.1","ENSPFOG00000014089"
"myom1b","ENSPFOG00000014111"
"LPIN2(2of2)","ENSPFOG00000023284"
"emilin2b","ENSPFOG00000014356"
"SMCHD1(1of4)","ENSPFOG00000014397"
"ensembl","ENSPFOG00000023625"
"ensembl","ENSPFOG00000016464"
"ensembl","ENSPFOG00000016468"
"ensembl","ENSPFOG00000024313"
"ensembl","ENSPFOG00000023061"
"ensembl","ENSPFOG00000022724"
"ensembl","ENSPFOG00000023295"
"nitr9(15of22)","ENSPFOG00000016470"
"nitr9(16of22)","ENSPFOG00000016484"
"si:dkeyp-106c3.1","ENSPFOG00000016492"
"si:dkeyp-106c3.3","ENSPFOG00000022877"
"ensembl","ENSPFOG00000016517"
"tsen15","ENSPFOG00000016524"
"C1orf21(2of2)","ENSPFOG00000023262"
"SEC22B(1of2)","ENSPFOG00000016526"
"imp3","ENSPFOG00000016529"
"SLC35A3(2of2)","ENSPFOG00000016557"
"fam78ba","ENSPFOG00000016606"
"cmpk","ENSPFOG00000016618"
"bcl6ab","ENSPFOG00000016628"
"ensembl","ENSPFOG00000016650"
"CPN2","ENSPFOG00000016654"
"ensembl","ENSPFOG00000016659"
"ATP13A3(1of2)","ENSPFOG00000016679"
"NCL(1of2)","ENSPFOG00000016767"
"gk5","ENSPFOG00000016782"
"atp1b3a","ENSPFOG00000016854"
"grk7a","ENSPFOG00000016873"
"fbxo36b","ENSPFOG00000016880"
"agfg1b","ENSPFOG00000023742"
"ensembl","ENSPFOG00000016893"
"MFF(2of2)","ENSPFOG00000016936"
"stk25b","ENSPFOG00000016950"
"sept2","ENSPFOG00000017007"
"SOX14(1of2)","ENSPFOG00000020878"
"sep15","ENSPFOG00000017044"
"hs2st1a","ENSPFOG00000017051"
"pkn2","ENSPFOG00000017072"
"gtf2b","ENSPFOG00000017172"
"lrrc8da","ENSPFOG00000020879"
"ensembl","ENSPFOG00000022737"
"znf644a","ENSPFOG00000017182"
"hfm1","ENSPFOG00000017194"
"cdc7","ENSPFOG00000017217"
"glmna","ENSPFOG00000017234"
"rpap2","ENSPFOG00000017280"
"GFI1(1of2)","ENSPFOG00000017327"
"RPL5(2of2)","ENSPFOG00000017339"
"SNORD21","ENSPFOG00000021045"
"SNORD21","ENSPFOG00000021273"
"fam69aa","ENSPFOG00000017351"
"mtf2","ENSPFOG00000017365"
"CCDC18","ENSPFOG00000017397"
"scinlb","ENSPFOG00000017425"
"wls","ENSPFOG00000017449"
"gadd45aa","ENSPFOG00000017519"
"dmbx1a","ENSPFOG00000017534"
"nsun4","ENSPFOG00000017543"
"ensembl","ENSPFOG00000017555"
"pif1","ENSPFOG00000017562"
"ptger4c","ENSPFOG00000017607"
"ARTN","ENSPFOG00000017610"
"st3gal3b","ENSPFOG00000017614"
"ensembl","ENSPFOG00000023684"
"ensembl","ENSPFOG00000022009"
"ensembl","ENSPFOG00000004260"
"ensembl","ENSPFOG00000024236"
"ensembl","ENSPFOG00000004288"
"ensembl","ENSPFOG00000022679"
"paplna","ENSPFOG00000004297"
"si:ch1073-469d17.2","ENSPFOG00000004690"
"psen1","ENSPFOG00000023620"
"erh(1of2)","ENSPFOG00000004699"
"si:ch211-168d23.3","ENSPFOG00000004736"
"exd2","ENSPFOG00000004789"
"numb","ENSPFOG00000004943"
"galnt16","ENSPFOG00000005089"
"vps39","ENSPFOG00000005574"
"TMEM87A","ENSPFOG00000005919"
"ganc","ENSPFOG00000006220"
"capn3a","ENSPFOG00000006474"
"znf106a","ENSPFOG00000006880"
"tmem206","ENSPFOG00000006988"
"nenf","ENSPFOG00000007088"
"ezra","ENSPFOG00000007131"
"kcnk3b","ENSPFOG00000007340"
"MARC2","ENSPFOG00000007365"
"hhipl2","ENSPFOG00000007529"
"wdr32","ENSPFOG00000007659"
"cpxm1a","ENSPFOG00000007806"
"ensembl","ENSPFOG00000007984"
"ensembl","ENSPFOG00000008180"
"manba","ENSPFOG00000008206"
"SLC39A8","ENSPFOG00000008619"
"NAT8(1of2)","ENSPFOG00000008696"
"NAT8(2of2)","ENSPFOG00000020007"
"dctn1b","ENSPFOG00000008720"
"alms1","ENSPFOG00000022918"
"TTC31(1of2)","ENSPFOG00000009143"
"nanos1","ENSPFOG00000020008"
"si:dkey-33c12.3","ENSPFOG00000009210"
"mrps26","ENSPFOG00000009251"
"loxl3b","ENSPFOG00000009296"
"pank2","ENSPFOG00000009622"
"ensembl","ENSPFOG00000021424"
"mavs","ENSPFOG00000009715"
"ensembl","ENSPFOG00000020009"
"rab11fip5a","ENSPFOG00000022278"
"sfxn5a","ENSPFOG00000009748"
"emx1","ENSPFOG00000009935"
"noto","ENSPFOG00000009939"
"cdc25b","ENSPFOG00000009958"
"ap5s1","ENSPFOG00000010079"
"kcnk13b","ENSPFOG00000011721"
"psmc1a","ENSPFOG00000011724"
"calm2b","ENSPFOG00000011790"
"brms1lb(1of2)","ENSPFOG00000011828"
"brms1lb(2of2)","ENSPFOG00000011925"
"nfkbiaa","ENSPFOG00000011973"
"PSMA6(1of2)","ENSPFOG00000012070"
"FAM177A1(1of2)","ENSPFOG00000012111"
"ensembl","ENSPFOG00000020149"
"flrt2","ENSPFOG00000012144"
"serpina1","ENSPFOG00000012147"
"ensembl","ENSPFOG00000021985"
"SCARNA13","ENSPFOG00000021481"
"prkrip1","ENSPFOG00000020150"
"glrx5","ENSPFOG00000012181"
"ints9","ENSPFOG00000012194"
"pla2g7","ENSPFOG00000012333"
"tdrd6","ENSPFOG00000012487"
"sf3b6","ENSPFOG00000012494"
"vsnl1a","ENSPFOG00000012520"
"pomgnt1","ENSPFOG00000001385"
"tspan1","ENSPFOG00000001818"
"pik3r3b(1of2)","ENSPFOG00000001877"
"mast2","ENSPFOG00000002082"
"ensembl","ENSPFOG00000021901"
"ensembl","ENSPFOG00000002601"
"ensembl","ENSPFOG00000022245"
"prrx1a","ENSPFOG00000003097"
"gorab","ENSPFOG00000003166"
"mettl11b","ENSPFOG00000003229"
"kifap3a","ENSPFOG00000003275"
"fam129aa","ENSPFOG00000003690"
"trmt1l","ENSPFOG00000003872"
"ensembl","ENSPFOG00000004243"
"prpf38a","ENSPFOG00000004248"
"ensembl","ENSPFOG00000004363"
"ensembl","ENSPFOG00000020390"
"ensembl","ENSPFOG00000024048"
"ensembl","ENSPFOG00000024787"
"ensembl","ENSPFOG00000022026"
"ensembl","ENSPFOG00000022677"
"ensembl","ENSPFOG00000023618"
"ensembl","ENSPFOG00000004377"
"ensembl","ENSPFOG00000004386"
"ensembl","ENSPFOG00000022934"
"ensembl","ENSPFOG00000022201"
"ensembl","ENSPFOG00000022055"
"ensembl","ENSPFOG00000024085"
"ftr98(43of77)","ENSPFOG00000020391"
"ensembl","ENSPFOG00000023770"
"ensembl","ENSPFOG00000020392"
"ensembl","ENSPFOG00000020393"
"ftr98(44of77)","ENSPFOG00000020394"
"ensembl","ENSPFOG00000004414"
"ensembl","ENSPFOG00000022162"
"ensembl","ENSPFOG00000024522"
"ensembl","ENSPFOG00000024305"
"ensembl","ENSPFOG00000021800"
"znf1059","ENSPFOG00000024204"
"orc1(1of2)","ENSPFOG00000004453"
"ensembl","ENSPFOG00000004616"
"orc1(2of2)","ENSPFOG00000004635"
"rtca","ENSPFOG00000004824"
"cdc14ab","ENSPFOG00000005008"
"vcam1","ENSPFOG00000005331"
"slc30a7","ENSPFOG00000005416"
"dph5","ENSPFOG00000005549"
"s1pr1","ENSPFOG00000020395"
"zbtb37","ENSPFOG00000005554"
"serpinc1","ENSPFOG00000005595"
"stil","ENSPFOG00000005686"
"ptbp1b","ENSPFOG00000005736"
"rhoad","ENSPFOG00000000709"
"MOV10(1of3)","ENSPFOG00000000853"
"wnt2bb","ENSPFOG00000001031"
"FKBPL","ENSPFOG00000001126"
"ebp","ENSPFOG00000001148"
"ccdc115","ENSPFOG00000001163"
"si:dkey-109j17.5","ENSPFOG00000001195"
"apobec2b","ENSPFOG00000001216"
"ensembl","ENSPFOG00000022284"
"mybpha","ENSPFOG00000001283"
"NAV1(1of2)","ENSPFOG00000001749"
"csrp1a","ENSPFOG00000002623"
"phlda3","ENSPFOG00000020125"
"tnni1a","ENSPFOG00000002725"
"lad1","ENSPFOG00000002836"
"tnnt2a","ENSPFOG00000002884"
"PKP1(1of2)","ENSPFOG00000003088"
"TEAD3(1of2)","ENSPFOG00000003170"
"ensembl","ENSPFOG00000021514"
"ensembl","ENSPFOG00000021639"
"ensembl","ENSPFOG00000003443"
"ensembl","ENSPFOG00000003488"
"LGR6","ENSPFOG00000003542"
"ube2t","ENSPFOG00000004091"
"zgc:194242","ENSPFOG00000004186"
"etv7","ENSPFOG00000004215"
"PNPLA1","ENSPFOG00000004355"
"KCNA10(1of2)","ENSPFOG00000004362"
"KCNA2(1of2)","ENSPFOG00000020127"
"KCNA3(1of2)","ENSPFOG00000020129"
"ngfa","ENSPFOG00000020131"
"tspan2b","ENSPFOG00000004384"
"Clostridiales-1","ENSPFOG00000021654"
"zgc:92113","ENSPFOG00000004459"
"TSHB(1of2)","ENSPFOG00000004545"
"camkvl","ENSPFOG00000004565"
"uba1","ENSPFOG00000004588"
"snoU6-53","ENSPFOG00000021521"
"arhgef3l","ENSPFOG00000004985"
"snoU6-53","ENSPFOG00000021477"
"usp21","ENSPFOG00000005232"
"ensembl","ENSPFOG00000005404"
"rbm10","ENSPFOG00000005428"
"lrrc23","ENSPFOG00000005731"
"tktb","ENSPFOG00000005809"
"si:dkey-32e6.6","ENSPFOG00000005959"
"bgnb","ENSPFOG00000005997"
"b4galt3","ENSPFOG00000006101"
"atp6ap1lb","ENSPFOG00000006174"
"CACNA2D3","ENSPFOG00000006297"
"LRTM1","ENSPFOG00000007555"
"wnt5a","ENSPFOG00000007598"
"chrna3","ENSPFOG00000001651"
"chrnb4","ENSPFOG00000021961"
"ube2q1","ENSPFOG00000001847"
"SHF","ENSPFOG00000002077"
"slc25a44b","ENSPFOG00000002156"
"crabp1a","ENSPFOG00000002184"
"sin3ab","ENSPFOG00000002244"
"ensembl","ENSPFOG00000022598"
"taldo1","ENSPFOG00000002546"
"tspan4a","ENSPFOG00000002633"
"ddb1","ENSPFOG00000002768"
"CFAP70","ENSPFOG00000003294"
"TMEM138(1of2)","ENSPFOG00000003576"
"cd151l","ENSPFOG00000003588"
"KCNA4","ENSPFOG00000003760"
"arl14ep","ENSPFOG00000003772"
"nr1h3","ENSPFOG00000003798"
"madd","ENSPFOG00000003955"
"bbox1","ENSPFOG00000004529"
"fibinb","ENSPFOG00000020315"
"MUC15","ENSPFOG00000024028"
"luzp2(2of2)","ENSPFOG00000004685"
"cdh24b","ENSPFOG00000019458"
"lrrc16b(1of2)","ENSPFOG00000019461"
"si:ch211-119o8.4","ENSPFOG00000019462"
"rem2","ENSPFOG00000019464"
"NOP9","ENSPFOG00000019465"
"tgm1l1","ENSPFOG00000019468"
"abhd4","ENSPFOG00000019473"
"dad1","ENSPFOG00000019476"
"pigr","ENSPFOG00000019478"
"lrrc24(2of3)","ENSPFOG00000019481"
"slc6a9","ENSPFOG00000019486"
"klf17","ENSPFOG00000019495"
"rnf220a","ENSPFOG00000019506"
"ensembl","ENSPFOG00000019496"
"tmem53","ENSPFOG00000019514"
"toe1","ENSPFOG00000019517"
"si:ch73-382f3.1","ENSPFOG00000023181"
"sepp1b","ENSPFOG00000021732"
"zgc:153394","ENSPFOG00000019522"
"fabp6","ENSPFOG00000019524"
"zgc:77151","ENSPFOG00000010024"
"ensembl","ENSPFOG00000010066"
"PRR7","ENSPFOG00000010216"
"ensembl","ENSPFOG00000010231"
"ensembl","ENSPFOG00000024388"
"grk6","ENSPFOG00000010254"
"nop16","ENSPFOG00000010549"
"arl10","ENSPFOG00000010622"
"wwc1","ENSPFOG00000021692"
"rars","ENSPFOG00000010658"
"si:dkeyp-23e4.3","ENSPFOG00000022681"
"sgcd","ENSPFOG00000011011"
"mrpl22(1of2)","ENSPFOG00000011072"
"gemin5(1of2)","ENSPFOG00000011108"
"ensembl","ENSPFOG00000024167"
"rif1(2of2)","ENSPFOG00000017804"
"tnfaip6","ENSPFOG00000017945"
"itgb5","ENSPFOG00000017963"
"etv5b","ENSPFOG00000018016"
"dgkg","ENSPFOG00000018060"
"crygs4","ENSPFOG00000022588"
"crygm3","ENSPFOG00000018188"
"crygm5(2of2)","ENSPFOG00000018190"
"ensembl","ENSPFOG00000018198"
"ensembl","ENSPFOG00000018214"
"ensembl","ENSPFOG00000022250"
"ensembl","ENSPFOG00000018203"
"ensembl","ENSPFOG00000023178"
"ensembl","ENSPFOG00000021949"
"ensembl","ENSPFOG00000018218"
"ensembl","ENSPFOG00000018231"
"ensembl","ENSPFOG00000023521"
"si:dkey-57a22.15(1of2)","ENSPFOG00000018238"
"si:dkey-57a22.14(1of2)","ENSPFOG00000023391"
"ensembl","ENSPFOG00000022081"
"pikfyve","ENSPFOG00000018252"
"ensembl","ENSPFOG00000018300"
"si:dkey-57a22.15(2of2)","ENSPFOG00000022735"
"si:dkey-57a22.14(2of2)","ENSPFOG00000023566"
"crygm7","ENSPFOG00000023461"
"ensembl","ENSPFOG00000018311"
"raph1a","ENSPFOG00000018383"
"cd28","ENSPFOG00000022388"
"ensembl","ENSPFOG00000024131"
"taar15(6of19)","ENSPFOG00000018452"
"taar15(18of19)","ENSPFOG00000023740"
"taar15(8of19)","ENSPFOG00000018458"
"taar15(7of19)","ENSPFOG00000018454"
"ensembl","ENSPFOG00000018463"
"taar15(9of19)","ENSPFOG00000018475"
"taar15(10of19)","ENSPFOG00000018478"
"taar15(11of19)","ENSPFOG00000018481"
"taar15(12of19)","ENSPFOG00000018482"
"taar15(13of19)","ENSPFOG00000018486"
"si:ch211-67e16.4","ENSPFOG00000018487"
"fer1l6","ENSPFOG00000018519"
"prkag3b","ENSPFOG00000018591"
"ttll4","ENSPFOG00000018597"
"si:ch211-67e16.11","ENSPFOG00000018607"
"kalrna","ENSPFOG00000018702"
"akt3b","ENSPFOG00000000634"
"pus10","ENSPFOG00000000909"
"cct4","ENSPFOG00000024647"
"fam161a","ENSPFOG00000001125"
"XPO1(1of2)","ENSPFOG00000001349"
"USP34","ENSPFOG00000002074"
"ensembl","ENSPFOG00000003839"
"commd1(2of2)","ENSPFOG00000021967"
"commd1(1of2)","ENSPFOG00000003910"
"b3gnt2a","ENSPFOG00000003950"
"zgc:66455","ENSPFOG00000003959"
"otx1b","ENSPFOG00000004008"
"mdh1aa","ENSPFOG00000004030"
"ugp2a","ENSPFOG00000004151"
"vps54","ENSPFOG00000004273"
"peli1a","ENSPFOG00000004572"
"slc29a2","ENSPFOG00000004682"
"lgalsla","ENSPFOG00000004842"
"MAL(1of3)","ENSPFOG00000004880"
"tmem246","ENSPFOG00000020080"
"ensembl","ENSPFOG00000004911"
"afap1","ENSPFOG00000004941"
"ablim2","ENSPFOG00000023857"
"zcchc4","ENSPFOG00000004954"
"si:dkey-219e21.4","ENSPFOG00000004956"
"pde5ab(1of2)","ENSPFOG00000004961"
"RAP1GDS1","ENSPFOG00000005005"
"lingo3a","ENSPFOG00000020083"
"nfil3-4","ENSPFOG00000020084"
"atp8b3","ENSPFOG00000000787"
"onecut3a","ENSPFOG00000001415"
"foxq2","ENSPFOG00000001440"
"pias4a","ENSPFOG00000001507"
"map2k2a","ENSPFOG00000001671"
"zbtb7a","ENSPFOG00000001889"
"tcf3b","ENSPFOG00000001904"
"MBD3(1of3)","ENSPFOG00000001910"
"si:dkey-110c1.10","ENSPFOG00000001993"
"UNC13A(1of3)","ENSPFOG00000002262"
"hmg20b","ENSPFOG00000003017"
"eef2a.2","ENSPFOG00000003083"
"rxfp3.2b","ENSPFOG00000020085"
"creb3l3a","ENSPFOG00000003238"
"celf5a","ENSPFOG00000003329"
"rgmd","ENSPFOG00000003463"
"hsd11b1la(1of3)","ENSPFOG00000003482"
"hsd11b1la(3of3)","ENSPFOG00000022752"
"hsd11b1la(2of3)","ENSPFOG00000003516"
"C19orf70","ENSPFOG00000003587"
"ensembl","ENSPFOG00000003597"
"GZMM","ENSPFOG00000003675"
"ensembl","ENSPFOG00000003744"
"ensembl","ENSPFOG00000003735"
"ensembl","ENSPFOG00000003785"
"ensembl","ENSPFOG00000003815"
"ensembl","ENSPFOG00000003849"
"fgf22","ENSPFOG00000003879"
"POLRMT","ENSPFOG00000003911"
"hcn2b","ENSPFOG00000004285"
"nitr13(26of34)","ENSPFOG00000022985"
"nitr13(19of34)","ENSPFOG00000021852"
"nitr13(1of34)","ENSPFOG00000001313"
"nitr13(2of34)","ENSPFOG00000001351"
"nitr13(24of34)","ENSPFOG00000022775"
"nitr13(3of34)","ENSPFOG00000001364"
"nitr13(4of34)","ENSPFOG00000001384"
"nitr13(32of34)","ENSPFOG00000023936"
"nitr13(34of34)","ENSPFOG00000024489"
"nitr13(5of34)","ENSPFOG00000001406"
"nitr13(30of34)","ENSPFOG00000023733"
"nitr13(6of34)","ENSPFOG00000001430"
"nitr13(7of34)","ENSPFOG00000001461"
"gpc2","ENSPFOG00000001609"
"stag3","ENSPFOG00000001981"
"mcm7","ENSPFOG00000002340"
"ensembl","ENSPFOG00000021586"
"ensembl","ENSPFOG00000021418"
"ensembl","ENSPFOG00000021522"
"ensembl","ENSPFOG00000021599"
"ensembl","ENSPFOG00000002504"
"COPS6(1of2)","ENSPFOG00000002531"
"COPS6(2of2)","ENSPFOG00000002582"
"FBXL12(1of2)","ENSPFOG00000002646"
"aurkb(1of2)","ENSPFOG00000002658"
"bod1l1(1of2)","ENSPFOG00000002769"
"FBXL12(2of2)","ENSPFOG00000002788"
"aurkb(2of2)","ENSPFOG00000002811"
"bod1l1(2of2)","ENSPFOG00000002857"
"nkx3.2","ENSPFOG00000002882"
"RAB28","ENSPFOG00000002910"
"hs3st1","ENSPFOG00000020423"
"CLNK","ENSPFOG00000003039"
"ZNF518B","ENSPFOG00000020424"
"gsr","ENSPFOG00000003063"
"slc30a9","ENSPFOG00000003213"
"ensembl","ENSPFOG00000021185"
"GRXCR1(1of2)","ENSPFOG00000003399"
"atp8a1","ENSPFOG00000003471"
"shisa3","ENSPFOG00000004262"
"BEND4","ENSPFOG00000004287"
"RAB11FIP5(2of2)","ENSPFOG00000023820"
"sfxn5b","ENSPFOG00000004348"
"smyd5","ENSPFOG00000004537"
"graf4b","ENSPFOG00000004740"
"SLC4A11(2of2)","ENSPFOG00000004866"
"ensembl","ENSPFOG00000000744"
"ensembl","ENSPFOG00000000720"
"ensembl","ENSPFOG00000020133"
"ensembl","ENSPFOG00000000725"
"ensembl","ENSPFOG00000000733"
"ensembl","ENSPFOG00000000747"
"pomca(1of2)","ENSPFOG00000000757"
"ensembl","ENSPFOG00000000783"
"ndufb9","ENSPFOG00000000844"
"TATDN1","ENSPFOG00000000928"
"rnf139","ENSPFOG00000001029"
"tmem65","ENSPFOG00000001120"
"ensembl","ENSPFOG00000001250"
"SCGN(1of2)","ENSPFOG00000001412"
"LRRC16A(1of2)","ENSPFOG00000001573"
"tnfrsf11b(1of4)","ENSPFOG00000001835"
"tnfrsf11b(2of4)","ENSPFOG00000001850"
"ensembl","ENSPFOG00000001997"
"enpp2(1of2)","ENSPFOG00000002408"
"DEPTOR","ENSPFOG00000024352"
"COL14A1(1of2)","ENSPFOG00000002928"
"si:ch211-214k5.3(1of5)","ENSPFOG00000003757"
"si:ch211-214k5.3(4of5)","ENSPFOG00000022790"
"si:ch211-214k5.3(5of5)","ENSPFOG00000023898"
"ZHX2(1of2)","ENSPFOG00000003780"
"ZHX1(1of2)","ENSPFOG00000003808"
"atad2(1of3)","ENSPFOG00000003921"
"ensembl","ENSPFOG00000004058"
"atad2(2of3)","ENSPFOG00000004101"
"ensembl","ENSPFOG00000004282"
"ensembl","ENSPFOG00000004327"
"ensembl","ENSPFOG00000004380"
"txnbb","ENSPFOG00000004409"
"ATF6B","ENSPFOG00000004851"
"ensembl","ENSPFOG00000023829"
"ensembl","ENSPFOG00000005015"
"si:ch211-24o10.6","ENSPFOG00000005034"
"vps52","ENSPFOG00000005093"
"rps18","ENSPFOG00000005340"
"RING1","ENSPFOG00000005375"
"CSK(3of4)","ENSPFOG00000015095"
"CSK(4of4)","ENSPFOG00000015195"
"cyp1a","ENSPFOG00000015284"
"ensembl","ENSPFOG00000015326"
"ensembl","ENSPFOG00000015375"
"SEMA7A(2of2)","ENSPFOG00000015380"
"arid3b","ENSPFOG00000015407"
"fam219b","ENSPFOG00000015439"
"COX5A(4of5)","ENSPFOG00000015470"
"snap25a(2of2)","ENSPFOG00000015494"
"lrrc28","ENSPFOG00000015513"
"ensembl","ENSPFOG00000021509"
"igf1ra","ENSPFOG00000015585"
"ap3s2","ENSPFOG00000015829"
"ANPEP(4of5)","ENSPFOG00000015846"
"ANPEP(5of5)","ENSPFOG00000015921"
"mespaa","ENSPFOG00000015959"
"mespba","ENSPFOG00000015962"
"tmed3","ENSPFOG00000015967"
"ensembl","ENSPFOG00000015972"
"ensembl","ENSPFOG00000021407"
"RASGRF1(2of2)","ENSPFOG00000016006"
"wdr76","ENSPFOG00000016083"
"FRMD5(2of2)","ENSPFOG00000016129"
"cry5","ENSPFOG00000016246"
"ALPK3(2of2)","ENSPFOG00000016272"
"sec11a","ENSPFOG00000016298"
"tspan3b","ENSPFOG00000016313"
"pstpip1b","ENSPFOG00000016341"
"isl2b","ENSPFOG00000016399"
"TMEM266(2of2)","ENSPFOG00000016426"
"fbxo22","ENSPFOG00000016466"
"tpma(2of2)","ENSPFOG00000016486"
"tln2a","ENSPFOG00000016520"
"ensembl","ENSPFOG00000021500"
"ddx28(1of2)","ENSPFOG00000020838"
"si:ch211-214c7.4(2of2)","ENSPFOG00000023953"
"mcoln1a","ENSPFOG00000000348"
"pglyrp2(1of2)","ENSPFOG00000000537"
"ensembl","ENSPFOG00000000572"
"ensembl","ENSPFOG00000000585"
"ensembl","ENSPFOG00000024581"
"EVI5L","ENSPFOG00000000681"
"DDX39A(1of2)","ENSPFOG00000000914"
"ensembl","ENSPFOG00000001004"
"MGAT5B(1of2)","ENSPFOG00000001279"
"ensembl","ENSPFOG00000001728"
"zgc:153845(2of2)","ENSPFOG00000020516"
"PRPSAP1(1of3)","ENSPFOG00000001763"
"si:dkey-45d16.4","ENSPFOG00000024100"
"zgc:171844","ENSPFOG00000001881"
"PIK3R6","ENSPFOG00000001996"
"pik3r5","ENSPFOG00000002198"
"ntn1a","ENSPFOG00000002430"
"stx8","ENSPFOG00000002516"
"ensembl","ENSPFOG00000002625"
"ensembl","ENSPFOG00000002766"
"cfap52(1of2)","ENSPFOG00000002794"
"usp43a","ENSPFOG00000003054"
"mchr1b","ENSPFOG00000020517"
"gga3","ENSPFOG00000003375"
"ensembl","ENSPFOG00000003555"
"hn1a","ENSPFOG00000003567"
"zgc:174863","ENSPFOG00000022676"
"ntsr1(1of2)","ENSPFOG00000015596"
"slco4a1","ENSPFOG00000015625"
"ensembl","ENSPFOG00000024049"
"ensembl","ENSPFOG00000015692"
"ensembl","ENSPFOG00000021627"
"ensembl","ENSPFOG00000021464"
"gata5(2of2)","ENSPFOG00000015696"
"RBBP8NL","ENSPFOG00000023832"
"hck","ENSPFOG00000015724"
"tm9sf4","ENSPFOG00000015806"
"plagl2","ENSPFOG00000015862"
"pofut1","ENSPFOG00000015874"
"klhl7(2of2)","ENSPFOG00000015916"
"kif3b","ENSPFOG00000015985"
"PCMTD2","ENSPFOG00000016011"
"myt1b","ENSPFOG00000016047"
"tbc1d22b","ENSPFOG00000016120"
"snrpg","ENSPFOG00000016200"
"prosc","ENSPFOG00000016204"
"tmed4","ENSPFOG00000016236"
"ikbkg","ENSPFOG00000016262"
"sps2","ENSPFOG00000016280"
"ap4b1","ENSPFOG00000016311"
"zgc:101663","ENSPFOG00000016373"
"fam58a","ENSPFOG00000016386"
"atp2b3b","ENSPFOG00000016422"
"crebzf","ENSPFOG00000020851"
"las1l","ENSPFOG00000020852"
"TNFRSF14(3of4)","ENSPFOG00000023779"
"pkp4","ENSPFOG00000003023"
"si:dkey-276j7.1(1of3)","ENSPFOG00000003258"
"fhl2b(2of2)","ENSPFOG00000022124"
"si:dkey-276j7.1(3of3)","ENSPFOG00000023993"
"fhl2b(1of2)","ENSPFOG00000003291"
"zgc:112023","ENSPFOG00000003333"
"COL18A1(1of2)","ENSPFOG00000003583"
"ensembl","ENSPFOG00000022142"
"ensembl","ENSPFOG00000004174"
"ensembl","ENSPFOG00000019909"
"ensembl","ENSPFOG00000004209"
"farp1","ENSPFOG00000004570"
"GGACT(1of2)","ENSPFOG00000005357"
"GGACT(2of2)","ENSPFOG00000019910"
"ensembl","ENSPFOG00000005361"
"ensembl","ENSPFOG00000024673"
"arl13b","ENSPFOG00000005379"
"NCAM2","ENSPFOG00000005477"
"btbd11b(2of2)","ENSPFOG00000022730"
"cry1ab","ENSPFOG00000011452"
"zgc:153031","ENSPFOG00000011636"
"mterf2(2of2)","ENSPFOG00000020130"
"si:ch73-62b13.1","ENSPFOG00000011639"
"mettl20","ENSPFOG00000011646"
"slc41a2a","ENSPFOG00000011668"
"si:dkey-23p11.2","ENSPFOG00000011885"
"cnot2","ENSPFOG00000012236"
"lrrc10","ENSPFOG00000020132"
"bscl2","ENSPFOG00000020134"
"fnbp4","ENSPFOG00000012386"
"agbl2","ENSPFOG00000024375"
"tmem17","ENSPFOG00000012478"
"TRIM29(33of90)","ENSPFOG00000012484"
"TRIM29(34of90)","ENSPFOG00000012628"
"SLC15A5","ENSPFOG00000012631"
"CCDC34","ENSPFOG00000012706"
"RAB19(1of2)","ENSPFOG00000012720"
"cecr5","ENSPFOG00000012734"
"ccdc77","ENSPFOG00000012790"
"ush1c","ENSPFOG00000012885"
"abcc8","ENSPFOG00000013039"
"kcnj11","ENSPFOG00000020136"
"ensembl","ENSPFOG00000020137"
"mob2a","ENSPFOG00000013609"
"DUSP8","ENSPFOG00000013641"
"ptpn5","ENSPFOG00000013661"
"PTPRJ(1of2)","ENSPFOG00000013743"
"PTPRJ(2of2)","ENSPFOG00000013844"
"osbpl5","ENSPFOG00000013862"
"phlda2","ENSPFOG00000020139"
"nap1l4a","ENSPFOG00000013985"
"th","ENSPFOG00000014072"
"igf2a","ENSPFOG00000014112"
"mrpl23","ENSPFOG00000014159"
"si:ch211-236l14.4","ENSPFOG00000014178"
"cpt1aa","ENSPFOG00000014240"
"im:6904482","ENSPFOG00000014459"
"uevld","ENSPFOG00000014535"
"CDH22","ENSPFOG00000016027"
"ensembl","ENSPFOG00000021437"
